observed_on,latitude,longitude,place_county_name,place_state_name,url,image_url,description
14/10/2023,-23.460.470.696,-461.839.530.883,Guaratinguetá,São Paulo,https://www.inaturalist.org/observations/204534201,https://inaturalist-open-data.s3.amazonaws.com/photos/361543585/medium.jpg,
19/10/2023,-231.457.686.926,-452.390.018.611,Taubaté,São Paulo,https://www.inaturalist.org/observations/188656803,https://inaturalist-open-data.s3.amazonaws.com/photos/330261181/medium.jpeg,
31/10/2023,-227.168.803.313,-446.267.726.206,São José do Barreiro,São Paulo,https://www.inaturalist.org/observations/215083050,https://inaturalist-open-data.s3.amazonaws.com/photos/380225744/medium.jpeg,
04/12/2023,-232.034.913.175,-459.955.240.736,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/193388608,https://inaturalist-open-data.s3.amazonaws.com/photos/339719536/medium.jpeg,
12/12/2023,-230.391.797.195,-448.917.691.645,Cunha,São Paulo,https://www.inaturalist.org/observations/197265134,https://inaturalist-open-data.s3.amazonaws.com/photos/347391450/medium.jpeg,Roadkill
26/12/2023,-210.383.033.581,-427.743.996.489,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/194890652,https://inaturalist-open-data.s3.amazonaws.com/photos/342705316/medium.jpg,
09/01/2024,-229.011.953.859,-458.655.029.311,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/213763406,https://static.inaturalist.org/photos/377790998/medium.jpeg,
24/01/2024,-232.679.208.657,-45.966.378.892,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/197830842,https://static.inaturalist.org/photos/348532380/medium.jpeg,
09/02/2024,-228.007.923.693,-443.874.754.039,Angra dos Reis,Rio de Janeiro,https://www.inaturalist.org/observations/220010775,https://static.inaturalist.org/photos/389472544/medium.jpg,
11/02/2024,-230.845.932.515,-466.550.555.374,Atibaia,São Paulo,https://www.inaturalist.org/observations/199017164,https://inaturalist-open-data.s3.amazonaws.com/photos/350889513/medium.jpg,"PESSAOL, PRECISO DE AJUDA NESSAS IDS.  AS FOTOS SÃO SEQUENCIA DE INDIVÍDUOS DEIFERENTES DO MESMO BANDO. Foto faz parte de diversas incursões, pesquisas (amadoras), viagens, passarinhadas e expedições que fiz nesses últimos 20 anos com muitos amigos e até mesmo com a família. Espero que gostem!!"
11/02/2024,-230.589.646.417,-467.232.196.439,Atibaia,São Paulo,https://www.inaturalist.org/observations/199017174,https://inaturalist-open-data.s3.amazonaws.com/photos/350889560/medium.jpg,"PESSAOL, PRECISO DE AJUDA NESSAS IDS.  AS FOTOS SÃO SEQUENCIA DE INDIVÍDUOS DEIFERENTES DO MESMO BANDO. Foto faz parte de diversas incursões, pesquisas (amadoras), viagens, passarinhadas e expedições que fiz nesses últimos 20 anos com muitos amigos e até mesmo com a família. Espero que gostem!!"
11/02/2024,-230.390.500.546,-467.952.153.881,Atibaia,São Paulo,https://www.inaturalist.org/observations/199017175,https://inaturalist-open-data.s3.amazonaws.com/photos/350889562/medium.jpg,"A ID FOI INCIADA COM A IA DO SITE. PESSOAL, PRECISO DE AJUDA NESSAS IDS.  AS FOTOS SÃO SEQUENCIA DE INDIVÍDUOS DIFERENTES DO MESMO BANDO. Foto faz parte de diversas incursões, pesquisas (amadoras), viagens, passarinhadas e expedições que fiz nesses últimos 20 anos com muitos amigos e até mesmo com a família. Espero que gostem!!"
11/02/2024,-221.629.786.716,-450.106.752.113,São Lourenço,Minas Gerais,https://www.inaturalist.org/observations/199054284,https://inaturalist-open-data.s3.amazonaws.com/photos/350962977/medium.jpeg,Linda sp!!!
11/02/2024,-228.030.347.078,-458.593.284.323,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/199181055,,"São Francisco Xavier, SP, Brasil."
11/02/2024,-228.157.019.089,-459.919.339.504,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/199312846,https://static.inaturalist.org/photos/351477558/medium.jpg,
12/02/2024,-229.183.781.554,-458.217.377.705,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/199387818,https://static.inaturalist.org/photos/351620985/medium.jpg,
13/02/2024,-230.816.391.939,-467.288.588.971,Atibaia,São Paulo,https://www.inaturalist.org/observations/199296980,https://inaturalist-open-data.s3.amazonaws.com/photos/351446507/medium.jpg,"Foto faz parte de diversas incursões, pesquisas (amadoras), viagens, passarinhadas e expedições que fiz nesses últimos 20 anos com muitos amigos e até mesmo com a família. Espero que gostem!!"
13/02/2024,-230.129.357.821,-466.654.718.722,Atibaia,São Paulo,https://www.inaturalist.org/observations/199296981,https://inaturalist-open-data.s3.amazonaws.com/photos/351446509/medium.jpg,"Foto faz parte de diversas incursões, pesquisas (amadoras), viagens, passarinhadas e expedições que fiz nesses últimos 20 anos com muitos amigos e até mesmo com a família. Espero que gostem!!"
21/02/2024,-224.048.726.691,-451.451.860.355,Delfim Moreira,Minas Gerais,https://www.inaturalist.org/observations/201295838,https://inaturalist-open-data.s3.amazonaws.com/photos/355313795/medium.jpg,Developed using darktable 3.4.0
01/03/2024,-232.914.605.277,-45.976.346.678,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/201358131,https://inaturalist-open-data.s3.amazonaws.com/photos/355437107/medium.jpg,"São José dos Campos, SP, Brasil."
01/03/2024,-233.669.264.989,-459.085.430.113,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/201358284,https://inaturalist-open-data.s3.amazonaws.com/photos/355437321/medium.jpg,"São José dos Campos, SP, Brasil."
03/03/2024,-233.385.243.121,-458.019.630.966,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/201358373,https://inaturalist-open-data.s3.amazonaws.com/photos/355437444/medium.jpg,"São José dos Campos, SP, Brasil."
03/03/2024,-233.695.613.268,-459.677.706.151,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/201358474,https://inaturalist-open-data.s3.amazonaws.com/photos/355437533/medium.jpg,"São José dos Campos, SP, Brasil."
07/04/2024,-204.650.368.126,-427.280.356.731,Oratórios,Minas Gerais,https://www.inaturalist.org/observations/205945198,https://inaturalist-open-data.s3.amazonaws.com/photos/364210645/medium.jpg,
16/04/2024,-226.857.088.737,-446.604.033.364,São José do Barreiro,São Paulo,https://www.inaturalist.org/observations/215041437,https://inaturalist-open-data.s3.amazonaws.com/photos/380153025/medium.jpeg,
21/04/2024,-209.296.806.729,-421.512.069.078,Porciúncula,Rio de Janeiro,https://www.inaturalist.org/observations/211948281,https://inaturalist-open-data.s3.amazonaws.com/photos/374603178/medium.jpg,
27/04/2024,-233.780.934.087,-458.466.546.961,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/222520785,https://inaturalist-open-data.s3.amazonaws.com/photos/394180271/medium.jpg,"Em atividade conduzida pela Una Ecoturismo, São José dos Campos-SP, Brazil."
01/05/2024,-229.111.596.906,-458.055.740.174,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/235572691,https://static.inaturalist.org/photos/418972743/medium.jpeg,
06/05/2024,-233.861.996.033,-459.862.809.761,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/219325486,https://static.inaturalist.org/photos/388197838/medium.jpeg,
10/05/2024,-229.673.652.987,-463.808.733.856,Extrema,Minas Gerais,https://www.inaturalist.org/observations/221633622,https://static.inaturalist.org/photos/392509231/medium.jpeg,
15/05/2024,-233.037.501.233,-463.297.963.348,Nazaré Paulista,São Paulo,https://www.inaturalist.org/observations/258286583,https://inaturalist-open-data.s3.amazonaws.com/photos/463370451/medium.jpg,
15/05/2024,-230.789.274.335,-463.809.931.344,Nazaré Paulista,São Paulo,https://www.inaturalist.org/observations/259932397,https://inaturalist-open-data.s3.amazonaws.com/photos/466701636/medium.jpg,
18/05/2024,-234.439.265.869,-466.411.334.307,São Paulo,São Paulo,https://www.inaturalist.org/observations/216644349,https://inaturalist-open-data.s3.amazonaws.com/photos/383163058/medium.jpeg,
19/05/2024,-221.956.970.851,-451.190.259.163,São Lourenço,Minas Gerais,https://www.inaturalist.org/observations/216963917,https://inaturalist-open-data.s3.amazonaws.com/photos/383764952/medium.jpeg,
30/05/2024,-235.234.862.929,-460.722.793.958,Mogi das Cruzes,São Paulo,https://www.inaturalist.org/observations/219555418,https://static.inaturalist.org/photos/388626123/medium.jpg,
31/05/2024,-232.336.271.456,-458.223.949.366,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/235640385,https://static.inaturalist.org/photos/419100863/medium.jpeg,
31/05/2024,-232.313.972.101,-45.893.732.821,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/235897746,https://static.inaturalist.org/photos/419597261/medium.jpeg,
02/06/2024,-232.922.076.566,-457.317.236.792,Paraibuna,São Paulo,https://www.inaturalist.org/observations/221017351,https://static.inaturalist.org/photos/391367546/medium.jpeg,
02/06/2024,-208.689.429.567,-420.140.021.942,Porciúncula,Rio de Janeiro,https://www.inaturalist.org/observations/228415034,https://inaturalist-open-data.s3.amazonaws.com/photos/405331730/medium.jpg,
15/06/2024,-221.577.343.197,-451.229.549.203,São Lourenço,Minas Gerais,https://www.inaturalist.org/observations/245567413,https://inaturalist-open-data.s3.amazonaws.com/photos/438231054/medium.jpeg,
16/06/2024,-20.932.121.837,-420.955.201.964,Tombos,Minas Gerais,https://www.inaturalist.org/observations/223264937,https://inaturalist-open-data.s3.amazonaws.com/photos/395574918/medium.jpeg,
27/06/2024,-241.742.809.785,-470.758.182.772,Pedro de Toledo,São Paulo,https://www.inaturalist.org/observations/225533543,https://inaturalist-open-data.s3.amazonaws.com/photos/399866290/medium.jpeg,
06/07/2024,-228.519.893.814,-459.388.549.065,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/235570597,https://static.inaturalist.org/photos/418968400/medium.jpeg,
21/07/2024,-22.183.770.726,-427.043.509.168,Sumidouro,Rio de Janeiro,https://www.inaturalist.org/observations/230842136,https://inaturalist-open-data.s3.amazonaws.com/photos/409918587/medium.jpeg,
21/07/2024,-22.826.307.194,-456.937.593.535,Santo Antônio do Pinhal,São Paulo,https://www.inaturalist.org/observations/257970736,https://inaturalist-open-data.s3.amazonaws.com/photos/462774673/medium.jpeg,
24/07/2024,-232.243.625.151,-457.504.520.234,Paraibuna,São Paulo,https://www.inaturalist.org/observations/235632049,https://static.inaturalist.org/photos/419083376/medium.jpeg,
31/07/2024,-22.515.075.961,-456.152.144.657,Conceição dos Ouros,Minas Gerais,https://www.inaturalist.org/observations/234229944,,
31/07/2024,-225.841.419.911,-457.641.880.016,Conceição dos Ouros,Minas Gerais,https://www.inaturalist.org/observations/234406720,https://static.inaturalist.org/photos/416704162/medium.jpg,
15/08/2024,-224.392.452.726,-42.924.815.135,Teresópolis,Rio de Janeiro,https://www.inaturalist.org/observations/236236972,https://static.inaturalist.org/photos/420255489/medium.jpg,
18/08/2024,-225.952.728.608,-43.059.838.792,Petrópolis,Rio de Janeiro,https://www.inaturalist.org/observations/236777532,https://static.inaturalist.org/photos/421290075/medium.jpeg,
20/08/2024,-236.554.334.229,-45.618.912.497,Salesópolis,São Paulo,https://www.inaturalist.org/observations/265191052,https://static.inaturalist.org/photos/476296947/medium.jpeg,
02/09/2024,-232.151.449.738,-46.286.829.545,Aruja,São Paulo,https://www.inaturalist.org/observations/240571668,https://inaturalist-open-data.s3.amazonaws.com/photos/428623834/medium.jpeg,
03/09/2024,-215.607.560.283,-461.195.146.879,Serranópolis de Minas,Minas Gerais,https://www.inaturalist.org/observations/239901541,https://static.inaturalist.org/photos/427335678/medium.jpeg,"Bicho muito diferente, foi registrado em uma passarinhada na região de Serrania MG. "
14/09/2024,-235.554.558.522,-461.322.232.444,Guaratinguetá,São Paulo,https://www.inaturalist.org/observations/246321031,https://static.inaturalist.org/photos/439716485/medium.jpeg,
09/10/2024,-232.487.993.316,-45.363.406.477,São Luiz do Paraitinga,São Paulo,https://www.inaturalist.org/observations/259873836,https://static.inaturalist.org/photos/466584810/medium.jpg,
22/10/2024,-235.480.579.416,-456.379.642.423,Santa Branca,São Paulo,https://www.inaturalist.org/observations/257258418,https://inaturalist-open-data.s3.amazonaws.com/photos/461439869/medium.jpeg,
25/10/2024,-235.512.095.847,-461.651.457.647,Mogi das Cruzes,São Paulo,https://www.inaturalist.org/observations/249376511,https://inaturalist-open-data.s3.amazonaws.com/photos/445768954/medium.jpeg,
25/10/2024,-235.340.514.641,-46.178.621.727,Mogi das Cruzes,São Paulo,https://www.inaturalist.org/observations/249382196,https://inaturalist-open-data.s3.amazonaws.com/photos/445770373/medium.jpeg,
26/10/2024,-223.842.878.404,-42.420.687.217,Nova Friburgo,Rio de Janeiro,https://www.inaturalist.org/observations/254728675,https://inaturalist-open-data.s3.amazonaws.com/photos/456329309/medium.jpeg,
02/11/2024,-22.492.164.198,-430.106.585.355,Petrópolis,Rio de Janeiro,https://www.inaturalist.org/observations/270451940,https://inaturalist-open-data.s3.amazonaws.com/photos/486384782/medium.jpg,Juvenil
15/11/2024,-222.319.164.914,-42.421.414.865,Nova Friburgo,Rio de Janeiro,https://www.inaturalist.org/observations/272670712,https://inaturalist-open-data.s3.amazonaws.com/photos/490563826/medium.jpeg,
26/11/2024,-235.103.840.626,-461.400.982.905,Guaratinguetá,São Paulo,https://www.inaturalist.org/observations/254849667,https://inaturalist-open-data.s3.amazonaws.com/photos/456578248/medium.jpeg,
30/11/2024,-235.224.340.341,-464.469.504.925,Guarulhos,São Paulo,https://www.inaturalist.org/observations/253647130,https://inaturalist-open-data.s3.amazonaws.com/photos/454208888/medium.jpeg,
30/11/2024,-221.367.502.332,-450.857.519.098,São Lourenço,Minas Gerais,https://www.inaturalist.org/observations/254026771,https://static.inaturalist.org/photos/454926256/medium.jpeg,
04/12/2024,-234.197.335.194,-467.490.002.076,São Paulo,São Paulo,https://www.inaturalist.org/observations/254301716,https://inaturalist-open-data.s3.amazonaws.com/photos/455473710/medium.jpeg,
08/12/2024,-236.736.378.532,-457.650.501.615,Salesópolis,São Paulo,https://www.inaturalist.org/observations/265057109,https://inaturalist-open-data.s3.amazonaws.com/photos/476032091/medium.jpg,
13/12/2024,-21.891.982.871,-423.361.845.221,Cantagalo,Rio de Janeiro,https://www.inaturalist.org/observations/263118052,https://inaturalist-open-data.s3.amazonaws.com/photos/472628169/medium.jpg,
18/12/2024,-234.530.017.729,-458.510.994.445,Salesópolis,São Paulo,https://www.inaturalist.org/observations/258057402,https://inaturalist-open-data.s3.amazonaws.com/photos/462939232/medium.jpg,
03/01/2025,-232.035.627.508,-451.065.078.058,Cunha,São Paulo,https://www.inaturalist.org/observations/259675841,https://inaturalist-open-data.s3.amazonaws.com/photos/466194490/medium.jpeg,
12/01/2025,-232.908.229.922,-463.698.973.995,Santa Isabel,São Paulo,https://www.inaturalist.org/observations/258278948,https://static.inaturalist.org/photos/463355258/medium.jpeg,
19/01/2025,-221.962.653.096,-450.310.762.874,São Lourenço,Minas Gerais,https://www.inaturalist.org/observations/263110501,https://inaturalist-open-data.s3.amazonaws.com/photos/472611891/medium.jpeg,
23/01/2025,-236.438.141.188,-457.491.147.114,Salesópolis,São Paulo,https://www.inaturalist.org/observations/259430256,https://static.inaturalist.org/photos/465704253/medium.jpeg,
23/01/2025,-23.222.746.546,-459.213.921.494,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/276159648,https://static.inaturalist.org/photos/495997053/medium.jpeg,
26/01/2025,-2.235.114.837,-45.625.404.856,Cachoeira de Minas,Minas Gerais,https://www.inaturalist.org/observations/259709869,https://static.inaturalist.org/photos/466262022/medium.jpeg,"estava numa mata de baixada, onde se passa um ribeirão"
31/01/2025,-231.410.912.877,-458.967.151.121,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/260863659,https://inaturalist-open-data.s3.amazonaws.com/photos/468545672/medium.jpg,
13/02/2025,-232.518.735.695,-459.886.504.472,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/261572475,https://static.inaturalist.org/photos/469952811/medium.jpeg,
04/03/2025,-235.896.871.015,-461.836.170.133,Guaratinguetá,São Paulo,https://www.inaturalist.org/observations/263868670,https://inaturalist-open-data.s3.amazonaws.com/photos/474113887/medium.jpeg,
08/03/2025,-232.946.076.141,-468.214.919.898,Jundiaí,São Paulo,https://www.inaturalist.org/observations/264647522,https://inaturalist-open-data.s3.amazonaws.com/photos/475234567/medium.jpeg,
09/03/2025,-234.914.300.527,-460.526.512.751,Mogi das Cruzes,São Paulo,https://www.inaturalist.org/observations/264962940,https://static.inaturalist.org/photos/475846742/medium.jpg,
09/03/2025,-233.384.021.868,-464.609.367.993,Mairiporã,São Paulo,https://www.inaturalist.org/observations/265212887,https://inaturalist-open-data.s3.amazonaws.com/photos/476339795/medium.jpg,
12/03/2025,-23.751.139.471,-456.034.152.081,Salesópolis,São Paulo,https://www.inaturalist.org/observations/278637680,https://inaturalist-open-data.s3.amazonaws.com/photos/500321281/medium.jpeg,Serra do Mar State Park Núcleo Padre Dória
13/03/2025,-232.301.381.812,-463.071.506.215,Aruja,São Paulo,https://www.inaturalist.org/observations/265183707,https://static.inaturalist.org/photos/476282614/medium.jpeg,Bando de 5 indivíduos; travessia entre fragmentos em área rural.
16/03/2025,-231.771.827.522,-445.918.704.836,Parati,Rio de Janeiro,https://www.inaturalist.org/observations/265772373,https://inaturalist-open-data.s3.amazonaws.com/photos/477437761/medium.jpg,
21/03/2025,-228.677.131.503,-458.695.765.615,São José dos Campos,São Paulo,https://www.inaturalist.org/observations/268580697,https://static.inaturalist.org/photos/482790809/medium.jpg,
22/03/2025,-220.763.314.826,-428.639.061.333,Sapucaia,Rio de Janeiro,https://www.inaturalist.org/observations/266477350,https://static.inaturalist.org/photos/478789393/medium.jpg,
18/04/2025,-230.743.886.442,-451.535.970.137,Cunha,São Paulo,https://www.inaturalist.org/observations/271412742,https://inaturalist-open-data.s3.amazonaws.com/photos/488212183/medium.jpeg,
22/04/2025,-236.392.478.139,-459.613.160.945,Salesópolis,São Paulo,https://www.inaturalist.org/observations/272269504,https://static.inaturalist.org/photos/489821719/medium.jpeg,
26/04/2025,-234.951.795.038,-466.150.730.647,São Paulo,São Paulo,https://www.inaturalist.org/observations/274291558,https://inaturalist-open-data.s3.amazonaws.com/photos/493143012/medium.jpeg,
09/05/2025,-22.085.907.384,-451.994.603.677,São Lourenço,Minas Gerais,https://www.inaturalist.org/observations/279821624,https://inaturalist-open-data.s3.amazonaws.com/photos/502513613/medium.jpg,
18/05/2025,-225.810.367.658,-431.393.870.805,Petrópolis,Rio de Janeiro,https://www.inaturalist.org/observations/282365794,https://static.inaturalist.org/photos/507292896/medium.jpg,
20/05/2025,-233.648.068.699,-468.773.205.417,Jundiaí,São Paulo,https://www.inaturalist.org/observations/282757107,https://inaturalist-open-data.s3.amazonaws.com/photos/508028631/medium.jpg,
22/05/2025,-235.340.926.364,-459.393.922.165,Salesópolis,São Paulo,https://www.inaturalist.org/observations/283178070,https://static.inaturalist.org/photos/508807708/medium.jpg,